No,ST_NAME_E,ST_NAME_K,ST_CODE,Control_og,BS_CODE,Gage_type,River_system,EL_m,Time_Siries,Daily_Siries,Longitude,Latitude,Longitude_dms,Latitude_dms,X_EPSG5186,Y_EPSG5186
670,Beomwang,범왕,40094040,MOLIT,400906,basic,Seonjingang,550,1984Y 08M?~ 1994Y 12M,1984Y 01M?~ 2005Y 12M,127.6208333,35.28194444,127-37-15,35-16-55,256480.019207195,298551.437455018
671,Jinjuam,진주암,40094050,MOLIT,400908,T/M,Seonjingang,800,1984Y 09M?~ 2013Y 08M,1984Y 01M?~ 2013Y 08M,127.7113889,35.24,127-42-41,35-14-24,264751.764002539,293953.099734414
672,Gurye2,구례2,40094060,MOLIT,400902,T/M,Seonjingang,35,1980Y 06M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,127.4561111,35.1625,127-27-22,35-09-45,241555.213082115,285218.224205519
673,Nogodan,노고단,40094070,MOLIT,400904,T/M,Seonjingang,630,1990Y 06M?~ 2013Y 08M,1990Y 10M?~ 2013Y 08M,127.5297222,35.22916667,127-31-47,35-13-45,248222.39328104,292647.837631518
674,Ssanggye,쌍계,40094080,MOLIT,400906,T/M,Seonjingang,180,1990Y 06M?~ 2013Y 08M,1990Y 10M?~ 2013Y 08M,127.6472222,35.23083333,127-38-50,35-13-51,258917.748036861,292896.124827998
675,Hadong2,하동2,40094090,MOLIT,400911,T/M,Seonjingang,20,1990Y 06M?~ 2013Y 08M,1990Y 10M?~ 2013Y 08M,127.7427778,35.06361111,127-44-34,35-03-49,267754.959979328,274404.286390486
676,Hoengcheon,횡천,40094100,MOLIT,400909,T/M,Seonjingang,430,1990Y 06M?~ 2013Y 08M,1990Y 10M?~ 2013Y 08M,127.8097222,35.1075,127-48-35,1935-06-27,273822.093745894,279321.112775885
677,Amnok,압록,40094110,MOLIT,400902,T/M,Seonjingang,45,2004Y 04M?~ 2013Y 08M,2004Y 09M?~ 2013Y 08M,127.3761111,35.19555556,127-22-34,35-11-44,234252.691368146,288855.077267284
678,Hwagae,화개,40094120,MOLIT,400907,T/M,Seonjingang,,2005Y 01M?~ 2013Y 08M,2005Y 01M?~ 2013Y 08M,127.6283333,35.17777778,127-37-42,35-10-40,257235.450971522,286998.751095988
679,Daap,다압,40094140,MOLIT,400907,T/M,Seonjingang,,2007Y 01M?~ 2013Y 08M,2006Y 12M?~ 2013Y 08M,127.6855556,35.13416667,127-41-08,1935-08-03,262481.299987952,282194.700647491
680,Hwangcheon,황전,40094150,MOLIT,400901,T/M,Seonjingang,,2007Y 01M?~ 2013Y 08M,2006Y 12M?~ 2013Y 08M,127.4288889,35.09805556,127-25-44,35-05-53,239105.843691726,278057.467620417
681,Seosi,서시,40094160,MOLIT,400903,T/M,Seonjingang,,2007Y 01M?~ 2013Y 08M,2006Y 12M?~ 2013Y 08M,127.4766667,35.20833333,127-28-36,1935-12-30,243403.622756032,290311.995085966
682,Wando,완도,41021170,KMA,410201,basic,Seonjingangnamhae,27.7,No Data,No Data,126.70184,34.39587,126-42-07,34-23-45,172582.943810631,200115.985208502
683,Suncheon,순천,41041174,KMA,410401,basic,Seonjingangnamhae,165,No Data,No Data,127.3694,35.0204,127-22-10,1935-01-13,233713.558917079,269420.442456762
684,Goheong,고흥,41041262,KMA,410409,basic,Seonjingangnamhae,53.3,No Data,No Data,127.27571,34.61824,127-16-33,34-37-06,225285.432093854,224778.103136595
685,Juam Regulation Dam,주암조절지댐,41044020,Kwater,410402,T/M,Seonjingangnamhae,40.9,1990Y 05M?~ 2013Y 08M,1990Y 05M?~ 2013Y 08M,127.4277778,34.9425,127-25-40,34-56-33,239078.476392968,260799.385496786
686,Seungju,승주,41044030,Kwater,410401,T/M,Seonjingangnamhae,114,2000Y 01M?~ 2013Y 08M,2000Y 01M?~ 2013Y 08M,127.365,34.98777778,127-21-54,34-59-16,233325.213553114,265799.809923984
687,Suncheon2,순천2,41044040,MOLIT,410403,T/M,Seonjingangnamhae,,2007Y 01M?~ 2013Y 08M,2006Y 12M?~ 2013Y 08M,127.4941667,34.92805556,127-29-39,34-55-41,245151.2171596,259224.855280664
688,Yeosu,여수,41051168,KMA,410506,basic,Seonjingangnamhae,73.3,No Data,No Data,127.74064,34.73929,127-44-26,34-44-21,267826.084753262,238422.003374382
689,Sueo dam,수어댐,41054030,Kwater,410503,T/M,Seonjingangnamhae,,2010Y 09M?~ 2010Y 09M,2010Y 09M?~ 2010Y 09M,127.7205556,35.02944444,127-43-14,35-01-46,265755.226554395,270598.812262373
690,Jigye,지계,41054050,Kwater,410502,T/M,Seonjingangnamhae,,2010Y 09M?~ 2010Y 09M,2010Y 09M?~ 2010Y 09M,127.6797222,35.07527778,127-40-47,35-04-31,261994.212654595,275657.617746576
691,Gwangju,광주,50011156,KMA,500107,basic,Yeongsangang,74.5,No Data,No Data,126.89158,35.17294,126-53-30,1935-10-23,190123.403785661,286286.602497575
692,Gwangju,광주,50014020,MOLIT,500107,T/M,Yeongsangang,60,1991Y 01M?~ 2013Y 08M,1991Y 06M?~ 2013Y 08M,126.9066667,35.14083333,126-54-24,1935-08-27,191494.396635538,282723.182290823
693,Gwangju daem,광주댐,50014030,MOLIT,500104,T/M,Yeongsangang,80,1991Y 01M?~ 2013Y 08M,1991Y 06M?~ 2013Y 08M,126.9916667,35.19694444,126-59-30,35-11-49,199241.095514425,288944.399091915
