No,ST_NAME_E,ST_NAME_K,ST_CODE,Control_og,BS_CODE,Gage_type,River_system,EL_m,Time_Siries,Daily_Siries,Longitude,Latitude,Longitude_dms,Latitude_dms,X_EPSG5186,Y_EPSG5186
1,Daegwanryeong,대관령,10011100,KMA,100105,basic,Hangang,772.4,No Data,No Data,128.71833,37.67713,128-43-06,37-40-38,351590.250698105,565553.154989711
2,Woljeongsa,월정사,10014010,MOLIT,100108,T/M,Hangang,610,1983Y 07M ~ 2012Y 12M,1983Y 01M ~ 2012Y 12M,128.5988889,37.70944444,128-35-56,37-42-34 ,340991.270741445,568953.610452951
3,Jeongseon,정선,10014020,MOLIT,100112,T/M,Hangang,300,1980Y 06M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,128.6733333,37.38444444,128-40-24,37-23-04 ,348198.545896018,532993.237621967
4,Daegi,대기,10014080,MOLIT,100106,T/M,Hangang,620,1983Y 07M ~ 2012Y 12M,1983Y 01M ~ 2012Y 12M,128.7766667,37.59166667,128-46-36,37-35-30 ,356916.785190566,556162.42184008
5,Gohan,고한,10014090,MOLIT,100113,T/M,Hangang,700,1983Y 07M?~ 2013Y 08M,1983Y 01M?~ 2013Y 08M,128.8522222,37.20361111,128-51-08,1937-12-13,364436.511154096,513217.043336286
6,Beoncheon,번천,10014100,MOLIT,100101,T/M,Hangang,760,1983Y 06M ~ 2012Y 12M,1983Y 01M ~ 2012Y 12M,128.9972222,37.36583333,128-59-50,37-21-57 ,376930.287027146,531485.484571783
7,Jinbu,진부,10014110,Kwater,100108,T/M,Hangang,574,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.5761111,37.66083333,128-34-34,37-39-39 ,339073.339634936,563523.666394443
8,Hwenggye,횡계,10014120,Kwater,100105,T/M,Hangang,800,1984Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.7052778,37.66166667,128-42-19,37-39-42 ,350469.933443866,563815.647549731
9,Jeongsun,정선,10014130,Kwater,100112,T/M,Hangang,300,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.7022222,37.38611111,128-42-08,37-23-10 ,350753.947417244,533224.011575889
10,Imgye,임계,10014140,Kwater,100104,T/M,Hangang,498,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.8177778,37.49722222,128-49-04,37-29-50 ,360750.814515824,545748.370342644
11,Sabuk,사북,10014150,Kwater,100113,T/M,Hangang,790,1984Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.8136111,37.24055556,128-48-49,37-14-26 ,360929.83804925,517251.428219813
12,Mitan,미탄,10014160,Kwater,100115,T/M,Hangang,610,1984Y 07M ~ 2012Y 12M,1987Y 01M ~ 2012Y 12M,128.4902778,37.32777778,128-29-25,37-19-40 ,332084.517434284,526431.717568619
13,Wangsan,왕산,10014170,Kwater,100106,T/M,Hangang,620,1984Y 07M ~ 2012Y 12M,1987Y 01M ~ 2012Y 12M,128.7422222,37.57583333,128-44-32,37-34-33 ,353906.977395223,554347.880195528
14,Hajang,하장,10014180,Kwater,100102,T/M,Hangang,600,1984Y 07M ~ 2012Y 12M,1987Y 01M ~ 2012Y 12M,128.9355556,37.35305556,128-56-08,37-21-11 ,371495.880089962,529953.292892618
15,Sami,사미,10014197,Kwater,100101,T/M,Hangang,,No Data,No Data,128.9916667,37.28027778,128-59-30,37-16-49 ,376638.318330036,521978.276697239
16,Cheongoksan,청옥산,10014200,Kwater,100115,T/M,Hangang,660,1993Y 09M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.4847222,37.36666667,128-29-05,37-22-00 ,331524.220348201,530740.400849634
17,Suhang,수항,10014210,Kwater,100109,T/M,Hangang,490,1993Y 09M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.5652778,37.56388889,128-33-55,37-33-50 ,338296.830901924,552746.834804203
18,Mungok,문곡,10014220,Kwater,100116,T/M,Hangang,800,1994Y 04M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.6763889,37.27111111,128-40-35,37-16-16 ,348692.431580429,520418.440895329
19,Yoocheon,유천,10014230,Kwater,100106,T/M,Hangang,380,1994Y 04M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.7175,37.48972222,128-43-03,37-29-23 ,351897.467584539,544749.268046898
20,Doekam ,덕암,10014240,Kwater,100102,T/M,Hangang,720,1994Y 04M ~ 2012Y 12M,1994Y 01M ~ 2012Y 12M,128.8313889,37.36027778,128-49-53,37-21-37 ,362249.992177956,530570.791657025
21,Yoengweol,영월,10021121,KMA,100213,basic,Hangang,239.7,No Data,No Data,128.45743,37.18126,128-27-27,37-10-53,329423.489461665,510123.977267641
22,Gapyeong,가평,10024010,MOLIT,100203,T/M,Hangang,470,1984Y 06M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.4819444,37.44722222,128-28-55,37-26-50 ,331137.615953714,539677.805094132
23,Bangrim,방림,10024060,MOLIT,100205,T/M,Hangang,480,1981Y 09M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,128.3941667,37.42666667,128-23-39,37-25-36 ,323403.484682112,537277.682384163
24,Heungjeong,흥정,10024090,MOLIT,100201,T/M,Hangang,640,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.3247222,37.65027778,128-19-29,37-39-01 ,316906.659072698,562008.847061252
25,Sudong,수동,10024100,MOLIT,100204,T/M,Hangang,440,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.3452778,37.45388889,128-20-43,37-27-14 ,319032.774548012,540236.297871917
26,Yucheon,유천,10024110,MOLIT,212,T/M,Hangang,490,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.3772222,37.52555556,128-22-38,37-31-32 ,321743.023544584,548231.80374694
27,Deungmae,등매,10024120,MOLIT,100202,T/M,Hangang,500,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.3930556,37.55166667,128-23-35,37-33-06 ,323099.785054395,551150.655643476
28,Yongjeon,용전,10024130,MOLIT,100201,T/M,Hangang,560,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.4394444,37.61055556,128-26-22,37-36-38 ,327099.057639198,557748.954107676
29,Gogil,고길,10024140,MOLIT,100204,T/M,Hangang,620,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.4563889,37.40472222,128-27-23,37-24-17 ,328948.962444365,534925.24569427
30,Sinri,신리,10024150,MOLIT,100203,T/M,Hangang,500,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.4563889,37.53722222,128-27-23,37-32-14 ,328721.488336027,549632.202052711
31,Gyebang,계방,10024160,MOLIT,100201,T/M,Hangang,700,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.4627778,37.67444444,128-27-46,37-40-28 ,329048.850542831,564872.409620864
32,Suju,수주,10024170,Kwater,100211,T/M,Hangang,270,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.2805556,37.28527778,128-16-50,37-17-07 ,313559.683699219,521442.00227802
33,Banglim,방림,10024180,Kwater,100204,T/M,Hangang,680,1984Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.2958333,37.44638889,128-17-45,37-26-47 ,314669.080179117,539342.512980322
34,Bongpyoung,봉평,10024190,Kwater,100201,T/M,Hangang,300,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.3763889,37.6325,128-22-35,37-37-57 ,321495.418758765,560101.217099888
35,Pyoungchang,평창,10024200,Kwater,100206,T/M,Hangang,295,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.3872222,37.37777778,128-23-14,37-22-40 ,322868.583746035,531842.248688026
36,Daehwa,대화,10024210,Kwater,100203,T/M,Hangang,500,1984Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.455,37.49277778,128-27-18,37-29-34 ,328675.030634971,544697.117130582
37,Youngweol 1,영월1,10024220,Kwater,100122,T/M,Hangang,200,1975Y 07M?~ 2013Y 08M,1986Y 01M?~ 2013Y 08M,128.4141667,37.18944444,128-24-51,1937-11-22,325567.829043948,510974.172283358
38,Anheung,안흥,10024230,Kwater,100208,T/M,Hangang,480,1984Y 07M ~ 2012Y 12M,1987Y 01M ~ 2012Y 12M,128.0788889,37.32833333,128-04-44,37-19-42 ,295620.713909679,525997.574088812
39,Shinlim,신림,10024240,Kwater,100209,T/M,Hangang,460,1993Y 09M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.1425,37.25083333,128-08-33,37-15-03 ,301362.61682711,517462.208449072
40,Unhak,운학,10024250,Kwater,100208,T/M,Hangang,480,1993Y 09M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.1897222,37.41166667,128-11-23,37-24-42 ,305327.517199958,535364.763674836
41,Yeondeok,연덕,10024260,Kwater,100212,T/M,Hangang,360,1993Y 09M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.4222222,37.2825,128-25-20,37-16-57 ,326127.974759247,521313.235333913
42,Jecheon,제천,10031221,KMA,100314,basic,Hangang,263.1,No Data,No Data,128.19431,37.15927,128-11-40,37-09-33,306087.483712564,507356.52355586
43,Yeongchun,영춘,10034050,MOLIT,100306,T/M,Hangang,170,1976Y 08M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,128.4838889,37.08222222,128-29-02,37-04-56 ,331945.137530005,499168.201604791
44,Deokjusa,덕주사,10034060,MOLIT,100318,T/M,Hangang,650,1987Y 06M ~ 2012Y 12M,1984Y 01M ~ 2012Y 12M,128.0883333,36.86361111,128-05-18,36-51-49 ,297048.770344252,474430.002215168
45,Olsan,올산,10034070,MOLIT,100309,T/M,Hangang,620,1990Y 11M ~ 2012Y 12M,1984Y 01M ~ 2012Y 12M,128.3719444,36.83972222,128-22-19,36-50-23 ,322378.22475656,472104.527318758
46,Paekun,백운,10034080,Kwater,100325,T/M,Hangang,200,1975Y 07M?~ 2013Y 08M,1987Y 01M?~ 2013Y 08M,128.0225,37.13888889,128-01-21,1937-08-20,290849.944531162,504916.159342411
47,Cheongpoong,청풍,10034090,Kwater,100318,T/M,Hangang,180,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.1697222,36.99722222,128-10-11,36-59-50 ,304124.72975911,489344.350915733
48,Danyang,단양,10034100,Kwater,100317,T/M,Hangang,265,1975Y 07M ~ 2012Y 12M,1985Y 01M ~ 2012Y 12M,128.3244444,36.94194444,128-19-28,36-56-31 ,317983.524380389,483389.762221758
49,Youngchun,영춘,10034110,Kwater,100306,T/M,Hangang,170,1984Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.5105556,37.09888889,128-30-38,37-05-56 ,334287.031316095,501055.406088196
50,Sangdong,상동,10034120,Kwater,100302,T/M,Hangang,540,1975Y 07M?~ 2013Y 08M,1986Y 01M?~ 2013Y 08M,128.6144444,37.13944444,128-36-52,1937-08-22,343446.739558344,505708.716313349
51,Chungju,충주,10034130,Kwater,100320,T/M,Hangang,100,1984Y 07M ~ 2012Y 12M,1987Y 01M ~ 2012Y 12M,127.9922222,37.00722222,127-59-32,37-00-26 ,288312.230360616,490274.757691204
52,Jecheon,제천,10034140,Kwater,100314,T/M,Hangang,200,1984Y 07M?~ 2013Y 08M,1987Y 01M?~ 2013Y 08M,128.2108333,37.11833333,128-12-39,1937-07-06,307613.24369902,502831.695486045
53,Bongyang,봉양,10034150,Kwater,100315,T/M,Hangang,320,1993Y 09M?~ 2013Y 08M,1993Y 01M?~ 2013Y 08M,128.135,37.08777778,128-08-06,1937-05-16,300913.812838115,499357.195809834
54,Deoksan,덕산,10034160,Kwater,100317,T/M,Hangang,350,1993Y 09M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.1572222,36.90083333,128-09-26,36-54-03 ,303141.872892711,478633.220642113
55,Eosangcheon,어상천,10034170,Kwater,100307,T/M,Hangang,210,1993Y 09M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.3813889,37.05972222,128-22-53,37-03-35 ,322866.789827619,496533.527804499
56,Hadong,하동,10034180,Kwater,100304,T/M,Hangang,800,1993Y 09M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.7072222,37.09555556,128-42-26,37-05-44 ,351778.506479459,500981.664697676
57,Chungju,충주,10041127,KMA,100414,basic,Hangang,113.7,No Data,No Data,127.95266,36.97038,127-57-10,36-58-13,284831.832365363,486149.968428473
58,Cheongcheon,청천,10044010,MOLIT,100403,T/M,Hangang,180,1975Y 07M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,127.7375,36.66055556,127-44-15,36-39-38 ,265937.292720708,451596.676060541
59,Sangmo,상모,10044020,MOLIT,100412,T/M,Hangang,180,1976Y 06M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,127.995,36.84722222,127-59-42,36-50-50 ,288744.760041144,472520.382344969
60,Yeonpung,연풍,10044030,MOLIT,100407,T/M,Hangang,223,1976Y 06M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,127.9975,36.7625,127-59-51,36-45-45 ,289065.81969746,463120.339045463
61,Sokrisan,속리산,10044060,MOLIT,100401,T/M,Hangang,330,1975Y 07M ~ 2012Y 12M,1969Y 01M ~ 2012Y 12M,127.8061111,36.51055556,127-48-22,36-30-38 ,272211.279125301,435000.052076725
62,Ipseok,입석,10044080,MOLIT,100405,T/M,Hangang,350,1984Y 07M ~ 2012Y 12M,1984Y 01M ~ 2012Y 12M,127.8858333,36.63805556,127-53-09,36-38-17 ,279222.579660625,449211.923665008
63,Bokcheonam,복천암,10044090,MOLIT,100401,T/M,Hangang,560,1985Y 05M ~ 2012Y 12M,1984Y 01M ~ 2012Y 12M,127.835,36.54055556,127-50-06,36-32-26 ,274770.315532661,438351.27195402
64,Gwesan,괴산,10044100,Kwater,100410,T/M,Hangang,200,1975Y 07M ~ 2012Y 12M,1987Y 06M ~ 2012Y 12M,127.7341667,36.81833333,127-44-03,36-49-06 ,265505.055234702,469103.838900253
65,Miwon,미원,10044110,MOLIT,100402,T/M,Hangang,215,1989Y 02M ~ 2012Y 12M,1989Y 07M ~ 2012Y 12M,127.6583333,36.6175,127-39-30,36-37-03 ,258891.943606384,446767.189558839
66,Judeok,주덕,10044120,Kwater,100413,T/M,Hangang,110,1993Y 04M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,127.7597222,36.96277778,127-45-35,36-57-46 ,267657.646584543,485151.859983392
67,Dalcheon,달천,10044130,Kwater,100414,T/M,Hangang,100,1993Y 08M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,127.9241667,36.92472222,127-55-27,36-55-29 ,282343.649401343,481057.841080011
68,Jangyeon,장연,10044140,Kwater,100407,T/M,Hangang,300,1993Y 04M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,127.9516667,36.81027778,127-57-06,36-48-37 ,284920.554090626,468380.955077021
69,Eumseong,음성,10044150,MOLIT,100410,T/M,Hangang,490,1994Y 12M ~ 2012Y 12M,1994Y 12M ~ 2012Y 12M,127.6858333,36.93416667,127-41-09,36-56-03 ,261100.168360995,481926.714201265
70,Songmyeon,송면,10044160,MOLIT,100405,T/M,Hangang,330,1994Y 12M ~ 2012Y 12M,1994Y 12M ~ 2012Y 12M,127.8744444,36.66,127-52-28,36-39-36 ,278181.827766025,451637.86616906
71,Mundang,문당,10044170,MOLIT,100404,T/M,Hangang,80,1994Y 12M ~ 2012Y 12M,1994Y 12M ~ 2012Y 12M,127.6711111,36.74027778,127-40-16,36-44-25 ,259939.677465394,460400.221101503
72,Hapan,하판,10044180,MOLIT,100401,T/M,Hangang,117,1994Y 12M ~ 2012Y 12M,1994Y 12M ~ 2012Y 12M,127.7863889,36.54111111,127-47-11,36-32-28 ,270416.833967442,438376.248965591
73,Goesan dam,괴산댐,10044182,KHNPC,100409,basic,Hangang,,No Data,No Data,127.8430556,36.75916667,127-50-35,36-45-33 ,275278.573864879,462617.837352867
74,Songmyeon,송면,10044270,KHNPC,100405,T/M,Hangang,,2009Y 02M ~ 2012Y 12M,2009Y 02M ~ 2012Y 12M,127.8638889,36.67111111,127-51-50,36-40-16 ,277226.96404885,452862.373367528
75,Miweon,미원,10044280,KHNPC,100402,T/M,Hangang,,2009Y 02M ~ 2012Y 12M,2009Y 02M ~ 2012Y 12M,127.66,36.62277778,127-39-36,36-37-22 ,259037.017433889,447353.902136496
76,Naesokri,내속리,10044282,KHNPC,100401,T/M,Hangang,,2009Y 02M ~ 2012Y 12M,2009Y 02M ~ 2012Y 12M,127.8111111,36.51055556,127-48-40,36-30-38 ,272659.186968184,435003.813312134
77,Aphyangcheon,압항천,10044284,KHNPC,100404,T/M,Hangang,,2009Y 02M ~ 2012Y 12M,2009Y 02M ~ 2012Y 12M,127.7322222,36.70277778,127-43-56,36-42-10 ,265429.643077015,456278.643810613
78,Buron,법천,10054010,MOLIT,100505,T/M,Hangang,80,1975Y 07M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,127.7538889,37.20444444,127-45-14,1937-12-16,266925.344455735,511968.34849088
79,Mokgye,목계,10054020,MOLIT,100502,T/M,Hangang,80,1976Y 06M ~ 2013Y 02M,1965Y 04M ~ 2013Y 02M,127.9147222,37.08666667,127-54-53,1937-05-12,281329.400735893,499022.595067301
80,Angseong,앙성,10054030,MOLIT,100503,T/M,Hangang,220,1989Y 02M?~ 2013Y 08M,1989Y 07M?~ 2013Y 08M,127.7513889,37.08638889,127-45-05,1937-05-11,266807.167736401,498864.428912784
81,Weonju,원주,10061114,KMA,100606,basic,Hangang,150.7,No Data,No Data,127.9466,37.33756,127-56-48,37-20-15,283885.530837223,526895.939421128
82,Hoengseong,횡성,10064020,MOLIT,100605,T/M,Hangang,130,1975Y 07M ~ 2012Y 12M,1965Y 05M ~ 2012Y 12M,127.985,37.49222222,127-59-06,37-29-32 ,287109.218837792,544096.657771444
83,Yangdong,양동,10064030,MOLIT,100607,T/M,Hangang,200,1980Y 06M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,127.7513889,37.42444444,127-45-05,37-25-28 ,266509.2890874,536383.527672298
84,Cheongil,청일,10064040,MOLIT,100601,T/M,Hangang,85,1975Y 07M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,128.15,37.58333333,128-09-00,37-35-00 ,301577.907663226,554374.902539481
85,Ganhyeon,간현,10064050,MOLIT,100608,T/M,Hangang,70,1975Y 07M ~ 2012Y 12M,1967Y 01M ~ 2012Y 12M,127.8397222,37.36222222,127-50-23,37-21-44 ,274389.732247097,529543.578237696
86,Munmak,문막,10064060,MOLIT,100610,T/M,Hangang,65,1984Y 07M ~ 2012Y 12M,1984Y 01M ~ 2012Y 12M,127.8102778,37.305,127-48-37,37-18-18 ,271835.72207927,523169.868563345
87,Seogok,서곡,10064070,MOLIT,100609,T/M,Hangang,100,1994Y 12M ~ 2012Y 12M,1994Y 12M ~ 2012Y 12M,127.9394444,37.29777778,127-56-22,37-17-52 ,283295.295265806,522474.275657018
88,Uhhang,우항,10064080,MOLIT,100604,T/M,Hangang,,1997Y 01M ~ 2012Y 12M,1997Y 01M ~ 2012Y 12M,128.0655556,37.46138889,128-03-56,37-27-41 ,294272.149620776,540752.018018362
89,Huengyang,흥양,10064090,MOLIT,100606,T/M,Hangang,130,1998Y 04M ~ 2012Y 12M,1998Y 03M ~ 2012Y 12M,127.9977778,37.38055556,127-59-52,37-22-50 ,288370.477448749,531714.646764011
90,Chundang,춘당,10064100,Kwater,100601,T/M,Hangang,290,2001Y 10M ~ 2012Y 12M,1999Y 01M ~ 2012Y 12M,128.1516667,37.60611111,128-09-06,37-36-22 ,301694.123239659,556904.917184282
91,Bongdeok,봉덕,10064110,Kwater,100601,T/M,Hangang,240,2001Y 10M ~ 2012Y 12M,1999Y 01M ~ 2012Y 12M,128.1841667,37.57138889,128-11-03,37-34-17 ,304612.626553321,553086.633666969
92,Hwengseong Dam,횡성댐,10064120,Kwater,100602,T/M,Hangang,186,2001Y 10M ~ 2012Y 12M,2000Y 06M ~ 2012Y 12M,128.0330556,37.54444444,128-01-59,37-32-40 ,291295.516070005,549938.470579717
93,Yangpyeong,양평,10071202,KMA,100718,basic,Hangang,47.4,No Data,No Data,127.49447,37.48857,127-29-40,37-29-19,243730.535379652,543350.387980513
94,Icheon,이천,10071203,KMA,100714,basic,Hangang,90,No Data,No Data,127.4842,37.26398,127-29-03,37-15-50,242950.135912209,518419.374785935
95,Yangpyeong,양평,10074010,MOLIT,100718,T/M,Hangang,31,1975Y 07M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,127.49,37.48638889,127-29-24,37-29-11 ,243336.469553974,543106.244195431
96,Yeoju,여주,10074030,MOLIT,100708,T/M,Hangang,45,1975Y 07M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,127.6480556,37.29527778,127-38-53,37-17-43 ,257461.015239577,521979.912230527
97,Cheongun,청운,10074040,MOLIT,100716,T/M,Hangang,110,1980Y 06M ~ 2012Y 12M,1965Y 07M ~ 2012Y 12M,127.7105556,37.55638889,127-42-38,37-33-23 ,262784.333188248,550999.89756961
98,Sanggeuk,생극,10074050,MOLIT,100704,T/M,Hangang,100,1975Y 07M?~ 2013Y 08M,1966Y 02M?~ 2013Y 08M,127.6069444,37.03444444,127-36-25,1937-02-04,254001.036517002,493007.802451692
99,Icheon,이천,10074060,MOLIT,100713,T/M,Hangang,63,1975Y 07M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,127.4430556,37.27694444,127-26-35,37-16-37 ,239293.733568681,519840.333202508
100,Taepyeong,태평,10074070,MOLIT,100710,T/M,Hangang,73,1989Y 03M ~ 2012Y 12M,1988Y 12M ~ 2012Y 12M,127.6055556,37.1975,127-36-20,37-11-51 ,253762.056322256,511103.168579956
101,Samjuk,삼죽,10074080,MOLIT,100702,T/M,Hangang,110,1989Y 02M ~ 2012Y 12M,1989Y 06M ~ 2012Y 12M,127.3744444,37.07666667,127-22-28,37-04-36 ,233296.494080651,497586.891932097
102,Seolseong,설성,10074090,MOLIT,100703,T/M,Hangang,100,1989Y 02M ~ 2012Y 12M,1989Y 07M ~ 2012Y 12M,127.5275,37.14583333,127-31-39,37-08-45 ,246864.013775851,505327.663603515
103,Juam,주암,10074100,MOLIT,100707,T/M,Hangang,300,1994Y 12M ~ 2012Y 12M,1994Y 12M ~ 2012Y 12M,127.6794444,37.39722222,127-40-46,37-23-50 ,260162.796828424,533313.877775232
104,Geomcheon,검천,10074110,MOLIT,100719,T/M,Hangang,450,1998Y 04M ~ 2012Y 12M,1998Y 03M ~ 2012Y 12M,127.3461111,37.53055556,127-20-46,37-31-50 ,230592.600798555,547951.693320864
105,Sangpum,상품,10074120,MOLIT,100715,T/M,Hangang,750,1998Y 04M ~ 2012Y 12M,1998Y 03M ~ 2012Y 12M,127.4397222,37.40194444,127-26-23,37-24-07 ,238933.519789409,533712.064716642
106,Heukcheon,흑천,10074170,KHNPC,100717,T/M,Hangang,,2009Y 02M ~ 2012Y 12M,2009Y 02M ~ 2012Y 12M,127.5430556,37.46416667,127-32-35,37-27-51 ,248043.059283482,540665.591816518
107,Namhangang,남한강,10074175,KHNPC,100708,T/M,Hangang,,2009Y 02M ~ 2012Y 08M,2009Y 02M ~ 2012Y 08M,127.6866667,37.18305556,127-41-12,37-10-59 ,260974.912886938,509549.17262511
108,Pyounghwa Dam,평화의댐,10094010,Kwater,100903,T/M,Hangang,274,1999Y 07M ~ 2012Y 12M,1999Y 07M ~ 2012Y 12M,127.8486111,38.21194444,127-50-55,38-12-43 ,274321.219100922,623865.980072695
109,Hwacheon,화천,10104010,MOLIT,101008,T/M,Hangang,154,1976Y 06M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,127.7086111,38.10583333,127-42-31,1938-06-21,262149.886422387,611984.41105169
110,Sangseo,상서,10104020,MOLIT,100412,T/M,Hangang,180,1976Y 06M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,127.5361111,38.17583333,127-32-10,38-10-33 ,246975.467872434,619653.011301016
111,Bangsan,방산,10104030,MOLIT,101003,T/M,Hangang,350,1976Y 06M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,127.9430556,38.21,127-56-35,38-12-36 ,282595.018753473,623730.144981073
112,Sanae,사내,10104040,MOLIT,101010,T/M,Hangang,260,1980Y 06M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,127.5308333,38.12555556,127-31-51,38-07-32 ,246544.950979723,614069.493733269
113,Hwacheon dam,화천댐,10104048,KHNPC,101007,basic,Hangang,,No Data,No Data,127.7611111,38.09861111,127-45-40,38-05-55 ,266761.118839109,611219.18683582
114,Hwacheon dam,화천댐,10104050,MOLIT,101006,T/M,Hangang,180,1975Y 07M?~ 2013Y 08M,1981Y 01M?~ 2013Y 08M,127.7772222,38.11722222,127-46-38,1938-07-02,268157.03454414,613296.744797962
115,Geumak,금악,10104060,MOLIT,101003,T/M,Hangang,60,2002Y 10M ~ 2012Y 12M,1998Y 01M ~ 2012Y 12M,127.9311111,38.19333333,127-55-52,38-11-36 ,281567.46443431,621869.497382381
116,Jichon,지촌,10104070,MOLIT,101010,T/M,Hangang,,2002Y 10M?~ 2013Y 08M,1998Y 04M?~ 2013Y 08M,127.6452778,38.0375,127-38-43,1938-02-15,256647.755638725,604358.940085514
117,Papo,파포,10104080,MOLIT,101008,T/M,Hangang,19,2002Y 10M?~ 2013Y 08M,1998Y 04M?~ 2013Y 08M,127.6494444,38.15805556,127-38-58,1938-09-29,256919.945912051,617743.159628957
118,Chuncheo dam,춘천댐,10104082,KHNPC,101011,basic,Hangang,,No Data,No Data,127.6694444,37.96722222,127-40-10,37-58-02 ,258825.439404141,596573.219840595
119,Suipcheon,수입천,10104170,KHNPC,101003,T/M,Hangang,,2009Y 02M ~ 2012Y 12M,2009Y 02M ~ 2012Y 12M,127.9013889,38.18305556,127-54-05,38-10-59 ,278974.77713764,620702.88279867
120,Yangguseocheon,양구서천,10104171,KHNPC,101005,T/M,Hangang,,2009Y 02M?~ 2013Y 08M,2009Y 02M?~ 2013Y 08M,127.9841667,38.10777778,127-59-03,1938-06-28,286316.141646309,612420.591852137
121,youngsingyo,용신교,10104172,KHNPC,101008,T/M,Hangang,,2009Y 02M ~ 2010Y 09M,2009Y 02M ~ 2010Y 09M,127.7044444,38.10888889,127-42-16,38-06-32 ,261781.861173611,612320.798673516
122,Jijoncheon,지촌천,10104173,KHNPC,101010,T/M,Hangang,,2009Y 02M ~ 2012Y 12M,2009Y 02M ~ 2012Y 12M,127.6369444,38.10888889,127-38-13,38-06-32 ,255861.849337997,612278.028500521
123,Seohwa,서화,10114030,Kwater,101002,T/M,Hangang,330,1975Y 07M ~ 2012Y 12M,1981Y 01M ~ 2012Y 12M,128.21,38.25972222,128-12-36,38-15-35 ,305903.218044676,629521.403578766
124,Wontong,원통,10114040,Kwater,101103,T/M,Hangang,320,1975Y 07M?~ 2013Y 08M,1974Y 01M?~ 2013Y 08M,128.2575,38.14111111,128-15-27,1938-08-28,310239.464899223,616410.228735515
125,Baekdamsa,백담사,10114050,MOLIT,101103,T/M,Hangang,480,1983Y 07M ~ 2012Y 12M,1983Y 01M ~ 2012Y 12M,128.375,38.15972222,128-22-30,38-09-35 ,320509.991304242,618622.371266149
126,Gunryang,군량,10114070,Kwater,101104,T/M,Hangang,440,1987Y 01M?~ 2013Y 08M,1987Y 01M?~ 2013Y 08M,128.2861111,38.07194444,128-17-10,1938-04-19,312854.149221821,608766.758894064
